"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"chr1:100346670:100346673",10.9048181187749,-14.0263156244912,2.73686494335591,-0.716115253277853,-1.1278637631985,4.37137415777151,-3.83994858990517,-0.412018019203838,-0.160739564479429,-0.368642082585795,0.277497600228445,1.19687830652308,-0.663549577039049,2.11235441204941,-0.480946666966032,-1.01516222177833,-0.360097180661801,0.928257438753739,0.978403287975115,2.47011397431411
"chr1:103379940:103379949",-6.95606721429923,-3.86128762716235,7.93162392553182,-4.11426494859094,1.25516335413874,0.191673078258679,0.410706986801705,2.03748430690727,3.26173702796021,-0.860580055122286,-0.778429905235442,-0.191556341486372,0.395698209098776,1.69903857809598,0.314918719676149,-1.06956708973383,-0.983457549123796,1.31806496617462,-0.679203466616564,0.480289723944488
"chr1:103440415:103440433",-4.66263411648898,-3.72113693623662,7.32919714958473,-2.17552227589993,-3.9473885033465,0.114139452374543,1.32732892305819,1.43750345201564,3.48675553724594,3.18616454676786,-0.476254410541031,0.423025814412497,-0.592733899016378,-0.951492055193246,-3.20562685135816,-1.65191290319663,-1.3187631710833,1.53887669662748,-0.893510883562547,1.14991241034929
"chr1:110146633:110146636",10.7999973397105,-13.4157854906346,1.91056584531934,-1.29834845557469,-0.978476526912119,3.59839219546462,-2.81651383528943,1.49034530927992,0.135480950889112,-0.453064250239178,-0.249209085014269,-0.872241082184441,0.930680334294659,1.13823416850021,-1.20617216997817,-0.9730551792605,-1.60334318950305,1.41999141923157,0.00978176442729508,-2.02128438835953
"chr1:12023593:12023608",1.52649703104777,1.49497437980568,-4.8054665790718,-6.86566269763554,-0.934928456547381,5.005718045904,1.12744255408558,3.8206623543664,1.27837774551229,-0.00144782268300494,-3.31385845841776,3.34872553103779,1.80638028313932,1.80400087406631,-0.586515215681776,0.742713681917288,-3.40884854973493,0.480807966023747,-0.40948129317498,1.07263251911845
"chr1:12026316:12026319",-0.280699975383191,1.67509750753294,1.20273814195401,-4.03883514462612,-0.224833125843774,2.60673147614493,0.953223394820599,1.46106742488804,-2.28966946623318,0.277094458614445,-0.377819943249017,-3.35485044655956,-2.81328466954166,2.29302519585607,0.521144524161494,-1.59054618672768,-0.704469178820191,1.24345341311655,-0.0159376687490486,0.377246284637428
"chr1:12062133:12062142",8.17159249380014,-10.0053727409728,0.959852369377853,-0.376724874618698,2.10936276719338,0.920976593985872,2.92593887688848,0.118933127683773,0.1901891029278,0.575730168839279,-0.713164437130469,-0.18381498470877,-0.425464026132862,1.552041362115,-0.274019494428977,-0.924301161293399,-1.18338289867169,0.926300880316687,-0.0710840560194088,-0.0897337480802507
"chr1:12069698:12069707",9.44839728734009,-11.0811551899444,0.469873925728968,-0.15438522044973,2.49679215763549,-2.22718389945363,2.63451441141111,3.69803391462865,0.142609003112191,1.03083504424337,-3.8369450926044,-3.06936665353498,0.515346960561582,0.50701681972664,-0.218506158923753,-0.94731505718017,-2.11810409557846,1.0935490501409,-0.864461485636144,-1.20805416274653
"chr1:154570908:154570911",-14.0004150538063,-9.16201236302119,-3.21807561604026,-0.529504290707634,5.33972756560911,1.78226919762337,-1.40303345329639,1.32173567562712,-0.466271276033867,1.02861695587274,-0.802632554111619,-0.484569543799166,-0.224808158267724,0.905368926014054,-1.40464420613839,0.0871957949334928,-0.581368098430172,2.56828048395216,-0.900005143121907,0.372071708084737
"chr1:155204884:155204887",0.272068797427064,1.30896975904345,-1.16598566013966,-3.14815456410849,-1.05998325861984,2.68849446286994,1.02975535241664,1.96371625649808,-0.870228946894871,0.603980515723771,0.811960717745759,-2.89184093165091,-2.48779464211366,1.5531496169863,0.213681535863687,-0.956206480779779,-0.184338021530198,0.543012198654745,-0.388538643789915,0.70971317532653
